@relation wubalubadubdub
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute class numeric
@data
25, -1.35, 0.003539606, 7, 8.443932733, 42.00243851, 0.173865763, 9.9, 128.334
12.5, 0, 0.003539606, 39, 8.443932733, 42.0015988, 0.11399444, 7.2, 128.927
31.5, -4.2, 0.000131097, 69, 5.630275304, 42.00580776, 0.184105992, 15.6, 122.086
4, -4.75, 1.63871E-05, 100, 6.292853089, 42.00449821, 0.178129116, 16.7, 121.154
4, -8.7, 1.63871E-05, 10, 8.443932733, 42.016104, 1.1482152, 24.6, 117.396
40, -2, 0.028316847, 95, 8.443932733, 42.00497773, 0.354912149, 11.2, 119.535
50, 0, 0.01194617, 21, 8.443932733, 42.00214345, 0.152827985, 7.2, 124.304
10, -1.5, 0.028316847, 46, 6.292853089, 42.00495741, 0.196313436, 10.2, 128.312
31.5, 0, 0.003539606, 84, 7.449832213, 42.00172668, 0.09583074, 7.2, 127.753
8, -4.75, 1.63871E-05, 65, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.746
100, -2.65, 0.01194617, 16, 8.443932733, 42.0051942, 0.37034646, 12.5, 111.35
20, -8.7, 1.63871E-05, 53, 8.443932733, 42.016104, 1.1482152, 24.6, 126.826
50, -2.4, 1.63871E-05, 44, 8.443932733, 42.00084863, 0.060507533, 12, 135.468
12.5, -7.7, 0.000131097, 52, 8.443932733, 42.0264269, 1.88423797, 22.6, 130.845
200, -2.4, 1.63871E-05, 83, 8.443932733, 42.00084863, 0.060507533, 12, 119.708
80, -3.6, 0.003539606, 22, 6.292853089, 42.00909175, 0.3600333, 14.4, 111.588
20, -6.35, 1.63871E-05, 94, 6.292853089, 42.0130253, 0.51580188, 19.9, 129.567
20, -6.15, 0.001048772, 56, 7.449832213, 42.0368233, 2.04369315, 19.5, 118.564
100, -6.35, 1.63871E-05, 38, 6.292853089, 42.0130253, 0.51580188, 19.9, 116.017
50, -6.35, 1.63871E-05, 2, 6.292853089, 42.0130253, 0.51580188, 19.9, 125.107
8, -2.65, 0.01194617, 69, 6.292853089, 42.00614329, 0.243274284, 12.5, 129.491
16, 0, 0.028316847, 37, 6.292853089, 42.00310138, 0.122814648, 7.2, 124.049
100, -1.65, 0.001048772, 9, 8.443932733, 42.00202822, 0.144612086, 10.5, 116.694
16, -7.7, 0.000131097, 53, 8.443932733, 42.0264269, 1.88423797, 22.6, 130.065
20, 0, 0.003539606, 5, 7.449832213, 42.00172668, 0.09583074, 7.2, 129.673
8, -9.85, 0.000131097, 94, 8.443932733, 42.0341183, 2.43263479, 26.9, 124.555
12.5, 0, 1.63871E-05, 68, 5.630275304, 42.00043947, 0.013931262, 7.2, 127.947
4, -2.7, 0.003539606, 72, 7.449832213, 42.00433288, 0.24047484, 12.6, 126.807
12.5, -6.3, 0.003539606, 48, 6.292853089, 42.0584113, 2.31308748, 19.8, 112.16
2, -4.95, 0.003539606, 93, 7.449832213, 42.0208438, 1.1568309, 17.1, 131.955
20, -2.65, 0.01194617, 93, 8.443932733, 42.0051942, 0.37034646, 12.5, 125.89
31.5, -7.7, 0.000131097, 49, 8.443932733, 42.0264269, 1.88423797, 22.6, 125.715
2.5, -2, 0.028316847, 3, 8.443932733, 42.00497773, 0.354912149, 11.2, 126.395
20, 0, 0.01194617, 2, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.54
3.15, -6.15, 0.001048772, 64, 6.292853089, 42.0408268, 1.61674128, 19.5, 129.415
31.5, 0, 0.028316847, 92, 6.292853089, 42.00310138, 0.122814648, 7.2, 120.319
50, -2.4, 1.63871E-05, 75, 7.449832213, 42.00087322, 0.048463599, 12, 135.484
31.5, -2.7, 0.003539606, 76, 8.443932733, 42.00401199, 0.286054887, 12.6, 123.311
80, 0, 0.003539606, 88, 7.449832213, 42.00172668, 0.09583074, 7.2, 121.903
2, -8.7, 1.63871E-05, 43, 6.292853089, 42.0172206, 0.68193576, 24.6, 114.044
16, -1.5, 0.028316847, 50, 6.292853089, 42.00495741, 0.196313436, 10.2, 122.782
63, -4.95, 0.003539606, 12, 6.292853089, 42.0233328, 0.92397888, 17.1, 109.885
10, 0, 0.028316847, 40, 6.292853089, 42.00310138, 0.122814648, 7.2, 127.899
40, -1.5, 0.028316847, 51, 8.443932733, 42.00425727, 0.303543351, 10.2, 120.264
63, -2.65, 0.01194617, 17, 8.443932733, 42.0051942, 0.37034646, 12.5, 116.92
40, -2, 0.01194617, 46, 8.443932733, 42.00400603, 0.285629939, 11.2, 121.728
8, -4.95, 0.003539606, 37, 7.449832213, 42.0208438, 1.1568309, 17.1, 126.565
20, -1.5, 0.028316847, 4, 8.443932733, 42.00425727, 0.303543351, 10.2, 125.524
6.3, 0, 0.003539606, 58, 7.449832213, 42.00172668, 0.09583074, 7.2, 123.583
6.3, 0, 0.01194617, 59, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.16
50, 0, 0.001048772, 14, 7.449832213, 42.00131983, 0.073250565, 7.2, 128.36
6.3, -5.6, 0.000131097, 57, 6.292853089, 42.0150478, 0.59589288, 18.4, 133.13
25, -9.85, 0.000131097, 40, 6.292853089, 42.036484, 1.4447664, 26.9, 116.184
8, -1.65, 0.001048772, 70, 6.292853089, 42.00245138, 0.097074648, 10.5, 129.991
25, -3.65, 0.01194617, 63, 5.630275304, 42.0132672, 0.42057024, 14.5, 114.709
20, -2, 0.01194617, 46, 7.449832213, 42.0042862, 0.2378841, 11.2, 124.254
40, -11.1, 1.63871E-05, 20, 6.292853089, 42.0229028, 0.90695088, 29.4, 119.646
50, 0, 1.63871E-05, 74, 5.630275304, 42.00043947, 0.013931262, 7.2, 138.607
5, -3.65, 0.01194617, 82, 7.449832213, 42.0111706, 0.6199683, 14.5, 133.174
8, 0, 0.003539606, 19, 5.630275304, 42.00209405, 0.066381385, 7.2, 129.117
6.3, -2, 0.01194617, 84, 7.449832213, 42.0042862, 0.2378841, 11.2, 129.964
