@relation wubalubadubdub
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute class numeric
@data
2, -8.7, 1.63871E-05, 43, 6.292853089, 42.0172206, 0.68193576, 24.6, 114.044
20, -1.65, 0.001048772, 7, 8.443932733, 42.00202822, 0.144612086, 10.5, 134.034
6.3, -7.7, 0.000131097, 47, 6.292853089, 42.0282593, 1.11906828, 22.6, 127.443
8, 0, 0.001048772, 63, 7.449832213, 42.00131983, 0.073250565, 7.2, 127.92
50, -2.7, 0.003539606, 76, 5.630275304, 42.00525474, 0.166575258, 12.6, 115.691
6.3, 0, 0.01194617, 4, 5.630275304, 42.0027238, 0.08634446, 7.2, 129.465
160, -2, 0.01194617, 59, 8.443932733, 42.00400603, 0.285629939, 11.2, 112.768
160, 0, 0.003539606, 86, 7.449832213, 42.00172668, 0.09583074, 7.2, 112.803
125, -2, 0.01194617, 52, 8.443932733, 42.00400603, 0.285629939, 11.2, 114.258
4, -2, 0.028316847, 85, 8.443932733, 42.00497773, 0.354912149, 11.2, 129.575
10, 0, 0.028316847, 87, 5.630275304, 42.00331266, 0.105011322, 7.2, 127.365
63, -4.45, 0.001048772, 76, 6.292853089, 42.0124596, 0.49340016, 16.1, 113.11
50, -3.65, 0.01194617, 24, 8.443932733, 42.0104404, 0.74440052, 14.5, 115.298
10, -4.75, 1.63871E-05, 55, 6.292853089, 42.00449821, 0.178129116, 16.7, 130.374
10, 0, 0.003539606, 93, 7.449832213, 42.00172668, 0.09583074, 7.2, 128.583
25, -1, 0.01194617, 64, 5.630275304, 42.00372371, 0.118041607, 9.2, 121.407
25, -1.65, 0.001048772, 20, 7.449832213, 42.002211, 0.1227105, 10.5, 132.889
12.5, -3.65, 0.01194617, 84, 7.449832213, 42.0111706, 0.6199683, 14.5, 125.724
10, 0, 0.028316847, 99, 7.449832213, 42.00283081, 0.157109955, 7.2, 126.966
31.5, 0, 0.003539606, 30, 6.292853089, 42.00193287, 0.076541652, 7.2, 125.603
40, -4.95, 0.003539606, 5, 7.449832213, 42.0208438, 1.1568309, 17.1, 112.945
25, -9.85, 0.000131097, 40, 6.292853089, 42.036484, 1.4447664, 26.9, 116.184
20, -4.2, 0.000131097, 10, 5.630275304, 42.00580776, 0.184105992, 15.6, 127.686
12.5, 0, 0.003539606, 39, 8.443932733, 42.0015988, 0.11399444, 7.2, 128.927
80, 0, 0.003539606, 88, 7.449832213, 42.00172668, 0.09583074, 7.2, 121.903
8, -2, 0.01194617, 10, 7.449832213, 42.0042862, 0.2378841, 11.2, 131.864
